"Cell_ID_Myeloid","Cell_ID_T_Cell","Distance","Cell_type"
"M_95","T_4",2207.66456116734,"H+"
"M_96","T_4",1892.03804511372,"H+"
"M_97","T_4",2123.80812651077,"H+"
"M_98","T_4",2930.54551759401,"H+"
"M_99","T_4",1770.00507079616,"H+"
"M_100","T_4",2024.57134299976,"H+"
"M_101","T_4",2540.19359299281,"H+"
"M_102","T_4",1890.52542169434,"H+"
"M_103","T_4",2820.77803061496,"H+"
"M_104","T_4",2473.1066225403,"H+"
"M_105","T_4",2794.8721240802,"H+"
"M_106","T_4",2435.52325149856,"H+"
"M_107","T_4",2371.24936490001,"H+"
"M_108","T_4",2008.40267920964,"H+"
"M_109","T_4",2855.19215482503,"H+"
"M_110","T_4",2764.19836699699,"H+"
"M_111","T_4",2343.88390908814,"H+"
"M_112","T_4",2436.40327122883,"H+"
"M_113","T_4",2484.70740066353,"H+"
"M_114","T_4",2624.54033263631,"H-"
"M_115","T_4",3050.92070742793,"H+"
"M_116","T_4",2332.00539637758,"H+"
"M_1","T_5",1538.24522561509,"H+"
"M_2","T_5",2041.7842759435,"H-"
"M_3","T_5",1647.63437124089,"H-"
"M_4","T_5",495.235211213158,"H+"
"M_5","T_5",1752.68447303122,"H+"
"M_6","T_5",1425.28494333961,"H+"
"M_7","T_5",2116.9544093137,"H-"
"M_8","T_5",681.52588879841,"H+"
"M_9","T_5",1499.26186610569,"H+"
"M_10","T_5",1797.97151563908,"H-"
"M_11","T_5",934.031998332976,"H+"
"M_12","T_5",803.616112155083,"H+"
"M_13","T_5",1723.21255283489,"H+"
"M_14","T_5",1281.48076617077,"H+"
"M_15","T_5",469.660755413632,"H+"
"M_16","T_5",1176.21199631483,"H+"
"M_17","T_5",435.701210632341,"H+"
"M_18","T_5",694.844590781886,"H+"
"M_19","T_5",2024.49397171281,"H+"
"M_20","T_5",449.531054313054,"H+"
"M_21","T_5",1882.77471455618,"H+"
"M_22","T_5",2122.73367279528,"H-"
"M_23","T_5",890.606973233369,"H+"
"M_24","T_5",549.651625961636,"H+"
"M_25","T_5",998.885697267063,"H+"
"M_26","T_5",744.935865528054,"H+"
"M_27","T_5",1721.37538579824,"H+"
"M_28","T_5",1526.34084119019,"H+"
"M_29","T_5",2181.83705395132,"H-"
"M_30","T_5",2055.77839782988,"H-"
"M_31","T_5",902.888598175809,"H+"
"M_32","T_5",1398.54511600502,"H+"
"M_33","T_5",967.812749106326,"H+"
"M_34","T_5",1831.68414512101,"H+"
"M_35","T_5",2416.28818156494,"H+"
"M_36","T_5",920.039277007984,"H+"
"M_37","T_5",1304.32577943597,"H+"
"M_38","T_5",1099.14015529409,"H+"
"M_39","T_5",1555.99598711179,"H-"
"M_40","T_5",2067.78350784169,"H-"
"M_41","T_5",983.361425267842,"H-"
"M_42","T_5",1369.54227613998,"H+"
"M_43","T_5",2107.82970471712,"H+"
"M_44","T_5",1819.74667525393,"H+"
"M_45","T_5",2436.59867414538,"H+"
"M_46","T_5",1127.97590960778,"H+"
"M_47","T_5",1757.51238959303,"H+"
"M_48","T_5",1973.89301832292,"H+"
"M_49","T_5",2255.80288407777,"H+"
"M_50","T_5",1004.80772583025,"H+"
"M_51","T_5",2068.7170123782,"H+"
"M_52","T_5",2334.90904302883,"H+"
"M_53","T_5",1097.83807762062,"H+"
"M_54","T_5",1180.22102832346,"H+"
"M_55","T_5",1010.08625310565,"H+"
"M_56","T_5",1259.61621185756,"H+"
"M_57","T_5",2462.26338752548,"H+"
"M_58","T_5",1088.32232105818,"H-"
"M_59","T_5",1799.93035649873,"H-"
"M_60","T_5",1095.61927817463,"H-"
